Name,AG24 Bubble Dancer DLG by Mark Drela
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.031200
99.404800,0.104300
98.203800,0.263000
96.848800,0.448600
95.464700,0.642100
94.076900,0.837800
92.689000,1.032800
91.300600,1.225800
89.911800,1.416500
88.523000,1.604800
87.133900,1.790800
85.745100,1.974400
84.355900,2.156200
82.967000,2.335700
81.577900,2.513000
80.188300,2.687900
78.798900,2.860200
77.409100,3.029700
76.018800,3.196400
74.628500,3.360000
73.237600,3.520400
71.846100,3.677600
70.454700,3.831300
69.063100,3.981300
67.670900,4.127700
66.278800,4.270200
64.886800,4.408700
63.494300,4.543200
62.101700,4.673600
60.709300,4.799700
59.316600,4.921400
57.923600,5.038900
56.531000,5.151700
55.138500,5.260000
53.745600,5.363500
52.352800,5.462200
50.960600,5.555800
49.568200,5.644300
48.175600,5.727600
46.783500,5.805300
45.391800,5.877400
44.000000,5.943700
42.608700,6.004000
41.218000,6.057900
39.827400,6.105300
38.437200,6.145800
37.048100,6.179200
35.659400,6.205000
34.271100,6.223100
32.884100,6.232800
31.498400,6.233800
30.113100,6.225400
28.729600,6.207400
27.347900,6.178900
25.967200,6.139400
24.588900,6.088300
23.213200,6.024800
21.839500,5.948000
20.469600,5.857200
19.103400,5.751400
17.741200,5.629500
16.385400,5.490400
15.035400,5.332500
13.693400,5.154500
12.361300,4.954200
11.040000,4.729600
9.734200,4.478400
8.445700,4.197100
7.181600,3.883200
5.946600,3.532300
4.753300,3.141300
3.620000,2.708300
2.583800,2.239300
1.712900,1.763400
1.071200,1.334100
0.648200,0.985700
0.376300,0.710700
0.199700,0.486500
0.085500,0.296300
0.019800,0.128700
0.000100,-0.023000
0.029300,-0.171900
0.118400,-0.323500
0.271400,-0.473800
0.499400,-0.630100
0.836400,-0.803400
1.348800,-1.005300
2.119300,-1.237700
3.141200,-1.472600
4.321200,-1.679600
5.580400,-1.851900
6.878000,-1.991800
8.198700,-2.104200
9.535100,-2.193800
10.882400,-2.263900
12.237700,-2.317500
13.598900,-2.356500
14.965200,-2.382700
16.335100,-2.397700
17.708500,-2.402600
19.084400,-2.398600
20.462200,-2.386700
21.842100,-2.367500
23.223700,-2.342000
24.606400,-2.310600
25.990900,-2.274000
27.376400,-2.232600
28.763100,-2.187100
30.151400,-2.138100
31.540800,-2.085600
32.931300,-2.030100
34.323400,-1.971800
35.716600,-1.911100
37.111100,-1.848200
38.506700,-1.783500
39.903400,-1.717300
41.300400,-1.649800
42.696200,-1.581300
44.090700,-1.512100
45.484200,-1.442400
46.876900,-1.372300
48.268500,-1.302100
49.659300,-1.231900
51.049400,-1.161700
52.439400,-1.091900
53.828600,-1.022400
55.217400,-0.953500
56.605900,-0.885200
57.994200,-0.817700
59.381700,-0.751100
60.768900,-0.685700
62.155600,-0.621400
63.541900,-0.558500
64.927600,-0.497100
66.313100,-0.437200
67.698600,-0.378800
69.083900,-0.322100
70.469300,-0.267000
71.854800,-0.213600
73.240700,-0.161900
74.626500,-0.112200
76.012700,-0.064500
77.399300,-0.019400
78.785900,0.023000
80.173100,0.062200
81.561100,0.097500
82.949100,0.128600
84.337400,0.155000
85.726300,0.175900
87.115300,0.190900
88.504600,0.199100
89.894300,0.199700
91.283900,0.192000
92.673700,0.175800
94.063400,0.150100
95.453200,0.114900
96.840100,0.070700
98.201900,0.018500
99.403900,-0.036400
100.000000,-0.065900
,
Camber line,
X(mm),Y(mm)
0.019800,0.128700
0.000100,-0.011500
0.029300,-0.009483
0.118400,0.013797
0.271400,0.051863
0.499400,0.102552
0.836400,0.168655
1.348800,0.257258
2.119300,0.373888
3.141200,0.509494
4.321200,0.648304
5.580400,0.780205
6.878000,0.902569
8.198700,1.015783
9.535100,1.120567
10.882400,1.217691
12.237700,1.307845
13.598900,1.391895
14.965200,1.470244
16.335100,1.543408
17.708500,1.611773
19.084400,1.675550
20.462200,1.734963
21.842100,1.790323
23.223700,1.841642
24.606400,1.889174
25.990900,1.933039
27.376400,1.973444
28.763100,2.010368
30.151400,2.043766
31.540800,2.074085
32.931300,2.101185
34.323400,2.125309
35.716600,2.146419
37.111100,2.164743
38.506700,2.180138
39.903400,2.192705
41.300400,2.202453
42.696200,2.209454
44.090700,2.213640
45.484200,2.215107
46.876900,2.213893
48.268500,2.209972
49.659300,2.203305
51.049400,2.194065
52.439400,2.182082
53.828600,2.167466
55.217400,2.150182
56.605900,2.130217
57.994200,2.107622
59.381700,2.082306
60.768900,2.054301
62.155600,2.023576
63.541900,1.990051
64.927600,1.953770
66.313100,1.914744
67.698600,1.872994
69.083900,1.828479
70.469300,1.781344
71.854800,1.731509
73.240700,1.679071
74.626500,1.624015
76.012700,1.566309
77.399300,1.505738
78.785900,1.442393
80.173100,1.375992
81.561100,1.306307
82.949100,1.233292
84.337400,1.156795
85.726300,1.076380
87.115300,0.992079
88.504600,0.903182
89.894300,0.809286
91.283900,0.710047
92.673700,0.605363
94.063400,0.494898
95.453200,0.379311
96.840100,0.260258
98.201900,0.140880
99.403900,0.034009
100.000000,-0.017350
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
